seed,method,drop_model,dropout,return,cde,td_var,gain_dispersion,pct_g_min,pct_g_max,map,alpha,beta,kappa,radius,payload_bytes,runtime_s
1,no_comm,burst,0.0,328.75,0.18058325024925223,0.014291866601656362,0.017509756298403064,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.3075573444366455
2,no_comm,burst,0.0,331.70000000000005,0.17875711809853925,0.016008276120711387,0.013583188250326676,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2953946590423584
3,no_comm,burst,0.0,332.29999999999995,0.17940486479812323,0.014004032457368077,0.01337608726619879,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.30434608459472656
1,no_comm,burst,0.1,328.75,0.18058325024925223,0.014291866601656362,0.01827001398895534,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2690112590789795
2,no_comm,burst,0.1,331.70000000000005,0.17875711809853925,0.016008276120711387,0.014354958886486321,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.3155529499053955
3,no_comm,burst,0.1,332.29999999999995,0.17940486479812323,0.014004032457368077,0.01536171812696344,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2761971950531006
1,no_comm,burst,0.3,328.75,0.18058325024925223,0.014291866601656362,0.022342191047739,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.26262593269348145
2,no_comm,burst,0.3,331.70000000000005,0.17875711809853925,0.016008276120711387,0.017683731536116336,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2678971290588379
3,no_comm,burst,0.3,332.29999999999995,0.17940486479812323,0.014004032457368077,0.020281617490859584,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.269726037979126
1,gain_mean,burst,0.0,331.0,0.17692403332090015,0.01263254817723551,0.01737241013627949,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.25182604789733887
2,gain_mean,burst,0.0,326.6,0.18756218905472638,0.015172044689476043,0.01845275682071307,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.37233901023864746
3,gain_mean,burst,0.0,326.85,0.1845059880239521,0.014000737050307884,0.01756658986468928,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.26874494552612305
1,gain_mean,burst,0.1,336.35,0.17144968592191157,0.011943650877432184,0.018453102196369663,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.26847267150878906
2,gain_mean,burst,0.1,328.3,0.18292682926829268,0.01636679254390419,0.01745963013385302,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.24006867408752441
3,gain_mean,burst,0.1,329.45,0.1803706928722478,0.013455345458833111,0.01905768413395479,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.24074077606201172
1,gain_mean,burst,0.3,326.04999999999995,0.18375265990737263,0.013621017250057783,0.021767736916587673,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2298440933227539
2,gain_mean,burst,0.3,333.20000000000005,0.1742255266418835,0.01474112443737671,0.02122048773572297,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.22987818717956543
3,gain_mean,burst,0.3,333.55,0.17458549863895076,0.012865345234754248,0.02033744968251127,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2307569980621338
1,reward_broadcast,burst,0.0,335.6,0.1740093526950529,0.01637128247060158,0.0318721387699639,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.5033371448516846
2,reward_broadcast,burst,0.0,329.3,0.18641136504014824,0.01408811304451066,0.03240634506588525,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.5088210105895996
3,reward_broadcast,burst,0.0,330.15000000000003,0.17647792466949364,0.013392011151465884,0.03368908455092255,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.4967691898345947
1,reward_broadcast,burst,0.1,323.95,0.19695091720376798,0.015203399042719055,0.03476313927663716,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.504828929901123
2,reward_broadcast,burst,0.1,335.75,0.1702706042258742,0.0145709383649931,0.03674163822637995,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.4896829128265381
3,reward_broadcast,burst,0.1,336.1,0.17022589803727936,0.014721772091910118,0.033246768886427996,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.49091386795043945
1,reward_broadcast,burst,0.3,329.35,0.18769268713774817,0.0158670999755437,0.03480606704066605,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.46417880058288574
2,reward_broadcast,burst,0.3,332.4,0.17986676535899335,0.01651277561827817,0.0363713139110149,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.4625868797302246
3,reward_broadcast,burst,0.3,330.9,0.18144712430426715,0.013711856214409516,0.035961417982692555,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.46397900581359863
1,broadcast_gain,burst,0.0,322.75,0.1956386292834891,0.014258808937373947,0.01766642729321713,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.27181506156921387
2,broadcast_gain,burst,0.0,322.3,0.19455204298388104,0.01583868253126525,0.013498691620004334,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2757267951965332
3,broadcast_gain,burst,0.0,321.65,0.19537210756722953,0.016163178975794494,0.015700519042678194,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.27236509323120117
1,broadcast_gain,burst,0.1,326.45000000000005,0.1905529382593603,0.013352127189044308,0.014371853631224896,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.26910996437072754
2,broadcast_gain,burst,0.1,322.79999999999995,0.19067318540804815,0.016691668635404323,0.01633676993016445,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.27178502082824707
3,broadcast_gain,burst,0.1,323.04999999999995,0.19095917856248434,0.014904398501908308,0.016716290443469676,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.27353811264038086
1,broadcast_gain,burst,0.3,329.85,0.17609591607343575,0.015315309584220827,0.020879012207094948,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.30219578742980957
2,broadcast_gain,burst,0.3,327.0,0.1855541718555417,0.015822751798411062,0.01949246504040027,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.263455867767334
3,broadcast_gain,burst,0.3,325.54999999999995,0.18541223570624296,0.014223124807448383,0.022308979300105752,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2644529342651367
