seed,method,drop_model,dropout,return,cde,td_var,gain_dispersion,pct_g_min,pct_g_max,map,alpha,beta,kappa,radius,payload_bytes,runtime_s
1,no_comm,bernoulli,0.0,329.45,0.1812872763419483,0.014166180695962625,0.014625548194598657,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2729952335357666
2,no_comm,bernoulli,0.0,333.0,0.17461891188499196,0.016961917525281332,0.014356702288665524,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.271129846572876
3,no_comm,bernoulli,0.0,328.0,0.18326693227091634,0.015256505739786156,0.01532321092272832,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2712070941925049
1,no_comm,bernoulli,0.1,329.45,0.1812872763419483,0.014166180695962625,0.016228531233413262,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.263624906539917
2,no_comm,bernoulli,0.1,333.0,0.17461891188499196,0.016961917525281332,0.01660705712668703,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2818589210510254
3,no_comm,bernoulli,0.1,328.0,0.18326693227091634,0.015256505739786156,0.017055094471643936,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2616410255432129
1,no_comm,bernoulli,0.3,329.45,0.1812872763419483,0.014166180695962625,0.023150493655354033,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2528681755065918
2,no_comm,bernoulli,0.3,333.0,0.17461891188499196,0.016961917525281332,0.019853899326378214,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.25264596939086914
3,no_comm,bernoulli,0.3,328.0,0.18326693227091634,0.015256505739786156,0.021977286257382014,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.24977493286132812
1,gain_mean,bernoulli,0.0,331.0,0.18089581786686465,0.015582922220993225,0.01782076364379851,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.23335504531860352
2,gain_mean,bernoulli,0.0,328.35,0.18503350707371558,0.014900219997874374,0.01697560089012713,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.23787593841552734
3,gain_mean,bernoulli,0.0,329.65000000000003,0.18292229520386666,0.01418352637173105,0.017775798425534135,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2332301139831543
1,gain_mean,bernoulli,0.1,332.90000000000003,0.17782168436651025,0.015254684489797292,0.01901864528208635,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.22750306129455566
2,gain_mean,bernoulli,0.1,332.15,0.18310378750614856,0.014645449173238888,0.019600193631858664,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.23041319847106934
3,gain_mean,bernoulli,0.1,328.75,0.18322981366459629,0.013949471553812097,0.020052989199482535,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.230849027633667
1,gain_mean,bernoulli,0.3,335.0,0.16842497207397295,0.015182677969700019,0.02258747209966564,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.21800613403320312
2,gain_mean,bernoulli,0.3,334.35,0.17799631223110018,0.01498891410473267,0.021580462284607763,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.21754717826843262
3,gain_mean,bernoulli,0.3,326.20000000000005,0.19057071960297767,0.014084967550612473,0.023552796384186496,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.21930813789367676
1,reward_broadcast,bernoulli,0.0,333.1,0.17763239106283174,0.013914173686182673,0.03328577990427235,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.4859278202056885
2,reward_broadcast,bernoulli,0.0,330.29999999999995,0.18434374614149895,0.014157255975997011,0.032135024838275475,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.4863452911376953
3,reward_broadcast,bernoulli,0.0,330.59999999999997,0.17750964050255008,0.01441641343361075,0.033171292333883946,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.4800701141357422
1,reward_broadcast,bernoulli,0.1,328.6,0.18733770248547052,0.013486127467353542,0.0344057338085614,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.468355655670166
2,reward_broadcast,bernoulli,0.1,332.4,0.17251680358476476,0.014545912232999393,0.035562928601582916,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.46814894676208496
3,reward_broadcast,bernoulli,0.1,329.2,0.18373419290850485,0.014511950625427485,0.0322663909279543,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.47092580795288086
