seed,method,drop_model,dropout,return,cde,td_var,gain_dispersion,pct_g_min,pct_g_max,map,alpha,beta,kappa,radius,payload_bytes,runtime_s
1,no_comm,bernoulli,0.0,329.45,0.1812872763419483,0.014166180695962625,0.014625548194598657,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.27355003356933594
2,no_comm,bernoulli,0.0,333.0,0.17461891188499196,0.016961917525281332,0.014356702288665524,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.26866698265075684
3,no_comm,bernoulli,0.0,328.0,0.18326693227091634,0.015256505739786156,0.01532321092272832,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2660059928894043
1,no_comm,bernoulli,0.1,329.45,0.1812872763419483,0.014166180695962625,0.016228531233413262,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2611961364746094
2,no_comm,bernoulli,0.1,333.0,0.17461891188499196,0.016961917525281332,0.01660705712668703,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2816030979156494
3,no_comm,bernoulli,0.1,328.0,0.18326693227091634,0.015256505739786156,0.017055094471643936,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2611050605773926
1,no_comm,bernoulli,0.3,329.45,0.1812872763419483,0.014166180695962625,0.023150493655354033,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.250762939453125
2,no_comm,bernoulli,0.3,333.0,0.17461891188499196,0.016961917525281332,0.019853899326378214,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.24801421165466309
3,no_comm,bernoulli,0.3,328.0,0.18326693227091634,0.015256505739786156,0.021977286257382014,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.2492990493774414
1,gain_mean,bernoulli,0.0,331.0,0.18089581786686465,0.015582922220993225,0.01782076364379851,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.23318791389465332
2,gain_mean,bernoulli,0.0,328.35,0.18503350707371558,0.014900219997874374,0.01697560089012713,0.0,0.0,congested_v1,0.5,0.2,0.5,5,2,0.23584413528442383
